Name,Description,Category
French Colonial,,COLONIAL 
Spanish Colonial ,Mexican Baroque,COLONIAL 
Dutch Colonial ,Flemish Colonial,COLONIAL 
Postmedieval English ,English Gothic; Elizabethan; Tudor; Jacobean or Jacobethan; New England Colonial; Southern Colonial,COLONIAL 
Georgian,,COLONIAL 
Early Classical Revival ,Jeffersonian Classicism; Roman Republican; Roman Revival; Roman Villa; Monumental Classicism; Regency,EARLY REPUBLIC
Federal ,Adams or Adamesque,EARLY REPUBLIC
Greek Revival,,MID-19TH CENTURY 
Gothic Revival ,Early Gothic Revival,MID-19TH CENTURY 
Italian Villa,,MID-19TH CENTURY 
Exotic Revival ,Egyptian Revival; Moorish Revival,MID-19TH CENTURY 
Octagon Mode,,MID-19TH CENTURY 
Gothic ,High Victorian Gothic; Second Gothic Revival,LATE VICTORIAN 
Italianate ,Victorian or High Victorian Italianate,LATE VICTORIAN 
Second Empire ,Mansard,LATE VICTORIAN 
Queen Anne ,Queen Anne Revival; Queen Anne-Eastlake,LATE VICTORIAN 
Stick/Eastlake ,Eastern Stick; High Victorian Eastlake,LATE VICTORIAN 
Shingle Style,,LATE VICTORIAN 
Romanesque ,Romanesque Revival; Richardsonian Romanesque,LATE VICTORIAN 
Renaissance ,Renaissance Revival; Romano-Tuscan Mode; North Italian or Italian Renaissance; French Renaissance; Second Renaissance Revival,LATE VICTORIAN 
Beaux Arts ,Beaux Arts Classicism,LATE 19TH AND 20TH CENTURY REVIVALS 
Colonial Revival ,Georgian Revival,LATE 19TH AND 20TH CENTURY REVIVALS 
Classical Revival ,Neo-Classical Revival,LATE 19TH AND 20TH CENTURY REVIVALS 
Tudor Revival ,Jacobean or Jacobethan Revival; Elizabethan Revival,LATE 19TH AND 20TH CENTURY REVIVALS 
Late Gothic Revival ,Collegiate Gothic,LATE 19TH AND 20TH CENTURY REVIVALS 
Mission/Spanish Colonial Revival,Spanish Revival; Mediterranean Revival,LATE 19TH AND 20TH CENTURY REVIVALS 
Italian Renaissance,,LATE 19TH AND 20TH CENTURY REVIVALS 
French Renaissance,,LATE 19TH AND 20TH CENTURY REVIVALS 
Pueblo,,LATE 19TH AND 20TH CENTURY REVIVALS 
Prairie School,,LATE 19TH AND EARLY 20TH CENTURY AMERICAN MOVEMENTS
Commercial Style,,LATE 19TH AND EARLY 20TH CENTURY AMERICAN MOVEMENTS
Chicago,,LATE 19TH AND EARLY 20TH CENTURY AMERICAN MOVEMENTS
Skyscraper,,LATE 19TH AND EARLY 20TH CENTURY AMERICAN MOVEMENTS
Bungalow/Craftsman ,Western Stick; Bungaloid,LATE 19TH AND EARLY 20TH CENTURY AMERICAN MOVEMENTS
Moderne ,Modernistic; Streamlined Moderne; Art Moderne,MODERN MOVEMENT
International Style ,Miesian,MODERN MOVEMENT
Art Deco,,MODERN MOVEMENT
